사업유형,사업번호,사업계획변경순번,사업년도,사업명,심사상태코드,최초심의일자,심의요청일,심의종료일,삭제여부
사회서비스형,2023-10879,3,2023,노인관련 시설지원,승인완료,2023-05-04 00:00,2023-04-28 00:00,2022-12-16 00:00,N
시장형,2023-77262,2,2023,노인장기요양시설 급식지원단,승인완료,2023-06-14 00:00,2023-06-14 00:00,2023-06-20 00:00,N
공익활동형,2023-24603,1,2023,노노케어(11개월),승인완료,2023-01-14 00:00,2023-01-14 00:00,2023-01-17 00:00,N
공익활동형,2023-11269,2,2023,환경지킴이,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-23 00:00,N
공익활동형,2023-12759,2,2023,보육교사 도우미,승인완료,2023-01-03 00:00,2023-01-03 00:00,2023-01-03 00:00,N
공익활동형,2023-11140,1,2023,지역명산지키미,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-22 00:00,N
시장형,2023-11674,2,2023,흙토람이천도예공방,승인완료,2022-12-28 00:00,2022-12-28 00:00,2022-12-28 00:00,N
공익활동형,2023-54545,1,2023,노노케어사업(기회),승인완료,2023-02-24 00:00,2023-02-24 00:00,2023-02-27 00:00,N
사회서비스형,2023-86628,2,2023,취약계층 돌봄서비스,승인완료,2023-08-31 00:00,2023-08-31 00:00,2023-09-01 00:00,N
시장형,2023-11094,4,2023,Cafe愛오다-명곡도서관,승인완료,2023-06-22 00:00,2023-06-22 00:00,2022-12-29 00:00,N
사회서비스형,2023-28288,2,2023,노인일자리 담당자 업무지원,승인완료,2023-07-25 00:00,2023-07-24 00:00,2023-01-19 00:00,N
사회서비스형,2023-10766,3,2023,지역아동센터 지원,승인완료,2023-04-17 00:00,2023-02-10 00:00,2022-12-15 00:00,N
사회서비스형,2023-10788,1,2023,장애인 서비스 지원,승인완료,2022-12-15 00:00,2022-12-15 00:00,2022-12-15 00:00,N
공익활동형,2023-11191,2,2023,노노강사파견,승인완료,2023-03-27 00:00,2022-12-16 00:00,2022-12-19 00:00,N
공익활동형,2023-11233,2,2023,실버해피도우미,승인완료,2023-01-26 00:00,2022-12-20 00:00,2022-12-22 00:00,N
공익활동형,2023-11667,2,2023,시민사랑 환경지킴이,승인완료,2023-02-27 00:00,2023-02-24 00:00,2022-12-28 00:00,N
공익활동형,2023-24731,1,2023,9988행복지키미 군자체사업,승인완료,2023-01-11 00:00,2023-01-11 00:00,2023-01-13 00:00,N
공익활동형,2023-11286,1,2023,소공클린시니어,승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-23 00:00,N
공익활동형,2023-10687,1,2023,은빛주차장관리사업단,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-16 00:00,N
공익활동형,2023-15727,1,2023,공익형 공공시설봉사 2,승인완료,2023-01-05 00:00,2023-01-05 00:00,2023-01-05 00:00,N
시장형,2023-69380,4,2023,카페청춘드림(다목적실내체육관점),승인완료,2023-06-23 00:00,2023-06-08 00:00,2023-06-08 00:00,N
공익활동형,2023-60886,2,2023,수직정원,승인완료,2023-03-21 00:00,2023-03-21 00:00,2023-03-21 00:00,N
공익활동형,2023-62006,1,2023,전기차충전소관리원사업,승인완료,2023-03-21 00:00,2023-03-21 00:00,2023-03-22 00:00,N
사회서비스형,2023-11161,1,2023,안전서포터즈,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-21 00:00,N
시장형,2023-11416,1,2023,토이케어,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-29 00:00,N
