사업유형,사업번호,사업계획변경순번,사업년도,계속사업여부,계속사업시작연도,사업유형코드,비예산여부,특수사업명코드,사업명,관활시도명,시군구코드,관할시군구,기관ID,수행기관시도명,수행기관시군구,사업기간시작일,사업기간종료일,사업계획서상태코드,목표일자리수,최초등록첨부파일,최근승인첨부파일,삭제여부
공익활동형,2022-08032,2,2022,Y,2010,학교급식 지원봉사(A-07),N,105001,초등학교급식지원사업,광주광역시,2917000000,북구,160,광주광역시,북구,2022-01-03,2022-12-31,승인완료,180,2022년 초등학교급식지원사업 사업계획서.hwp,2022년+초등학교급식지원사업+사업계획서.hwp,N
시장형,2022-11915,3,2022,Y,2021,기타(E-11),N,105001,The반디사업,부산광역시,2635000000,해운대구,2612,부산광역시,해운대구,2022-01-03,2022-12-31,승인완료,12,2022년 The반디사업.hwp,2022년+The반디사업+사업계획서_예산변경.hwp,N
공익활동형,2022-00022,2,2022,Y,2012,공원 놀이터 등 공공시설 봉사(A-13),N,105001,"공원,놀이터 등 공공시설봉사",경상북도,4783000000,고령군,414,경상북도,고령군,2022-01-03,2022-12-31,승인완료,173,"2022++공원,놀이터+공공시설봉사.hwp","2022++공원,놀이터+공공시설봉사(변경).hwp",N
사회서비스형,2022-12856,2,2022,N,2022,취약계층 공익증진 서비스(B-09),N,105001,시니어 금융서비스지원,경기도,4163000000,양주시,225083,경기도,양주시,2022-02-01,2022-12-20,승인완료,4,22년+사회서비스형+시니어금융지원+사업계획서 (1)최종.hwp,22년+사회서비스형+승강기+사업계획서+최종(11. 4).hwp,N
공익활동형,2022-09442,2,2022,Y,2018,학교급식 지원봉사(A-07),N,105001,사랑의 배식 사업,강원도,4215000000,강릉시,486,강원도,강릉시,2022-01-01,2022-12-31,승인완료,150,2022년 공익형 (사랑의 배식사업).hwp,2022년 공익형 (사랑의 배식사업)_변경.hwp,N
공익활동형,2022-76693,1,2022,Y,2022,공공의료 및 복지시설 봉사(A-15),N,105001,복지시설도우미,대전광역시,3020000000,유성구,507084,대전광역시,유성구,2022-01-01,2022-12-31,임시,44,2023년 공익형(공공시설 도우미) 사업계획서.hwp,,Y
공익활동형,2022-11147,1,2022,Y,2022,학교급식 지원봉사(A-07),N,105001,시니어푸드9060,부산광역시,2623000000,부산진구,2613,부산광역시,부산진구,2022-01-24,2022-12-30,임시,230,2022년 노인 공익활동 사업계획서.hwp,,Y
시장형,2022-11160,2,2022,Y,2019,음식점(E-09),N,105001,할매손 김밥,부산광역시,2653000000,사상구,2634,부산광역시,사상구,2022-01-04,2022-12-31,승인완료,16,(22+김밥+사업계획.hwp,'22+김밥+사업계획(수정).hwp,N
사회서비스형,2022-11230,3,2022,Y,2019,보육시설(어린이집 등) 지원(B-01),N,105001,보육교사도우미,충청남도,4480000000,홍성군,113,충청남도,홍성군,2022-02-01,2022-11-30,승인완료,100,5. 2022년 보육교사도우미 사업계획서.hwp,5. 2022년 보육교사도우미 사업계획서(변경-7. 8.).hwp,N
공익활동형,2022-10119,1,2022,Y,2021,문화재시설 봉사(A-14),N,105001,문화재시설환경관리,전라북도,4521000000,김제시,2356,전라북도,김제시,2022-01-03,2022-11-30,승인완료,14,22_ 문화재시설환경관리.hwp,,N
시장형,2022-10143,1,2022,N,2022,기타(E-19),N,105001,학교환경관리지원사업,경기도,4128000000,고양시,231083,경기도,고양시,2022-03-01,2022-12-31,반려,11,2022년 시장형 사업계획서 (학교환경관리지원사업).hwp,,Y
공익활동형,2022-10156,1,2022,N,2022,지역사회 환경개선 봉사(A-16),N,105001,별빛고원길 사업,전라북도,4572000000,진안군,191083,전라북도,진안군,2022-01-03,2022-12-30,승인완료,70,별빛고원길 사업계획서(22년도).hwp,,N
공익활동형,2022-11253,4,2022,N,2022,경륜전수 활동(A-23),N,105001,경륜전수활동,부산광역시,2623000000,부산진구,2613,부산광역시,부산진구,2022-01-17,2022-12-30,승인완료,20,2022년경륜전수+사업계획서 (1).hwp,2022년경륜전수+사업계획서(수정) (1)-변경.hwp,N
공익활동형,2022-11266,2,2022,N,2022,스쿨존교통지원 봉사(A-08),N,105001,스쿨존 교통지원봉사,경상남도,4873000000,함안군,517083,경상남도,함안군,2022-01-03,2022-12-31,승인완료,76,2022년 스쿨존교통지도봉사 사업계획.hwp,,N
시장형,2022-11307,4,2022,Y,2021,기타(E-07),N,105001,보랏빛향기,충청남도,4480000000,홍성군,354083,충청남도,홍성군,2022-01-01,2022-12-31,승인완료,10,2022년 보랏빛향기 사업계획서+임대차계약서.hwp,2022년+사업계획서(보랏빛향기)-최종(10월).hwp,N
공익활동형,2022-11310,4,2022,Y,2021,지역사회 환경개선 봉사(A-16),N,105001,우리하천지킴이,경기도,4129000000,과천시,1167,경기도,과천시,2022-01-25,2022-12-30,승인완료,30,2022년 노인공익활동 사업계획서(우리하천지킴이).hwp,2022년 노인공익활동 사업계획서(우리하천지킴이).hwp,N
공익활동형,2022-11393,2,2022,Y,2022,스쿨존교통지원 봉사(A-08),N,105001,스쿨존교통지원,전라남도,4671000000,담양군,1303,전라남도,담양군,2022-01-11,2022-06-30,승인완료,27,2022년스쿨존+사업계획서 (2021년12.9)45명각 초등학교배정 보고용.hwp,2022년 스쿨존교통지원 사업계획서(2022.7.14.).hwp,N
시장형,2022-11395,3,2022,N,2022,기타(E-19),N,105001,수직정원사업,부산광역시,2644000000,강서구,2764,부산광역시,강서구,2022-01-03,2022-12-31,승인완료,10,2022년+시장형사업단+사업계획서-수직정원설치관리사업단.hwp,2022년+시장형사업단+사업계획서-수직정원설치관리사업단(변경).hwp,N
