사업유형,사업번호,사업년도,사업명,홈페이지모집시작일자,홈페이지모집종료일자,홈페이지공고시작일,홈페이지공고종료일,홈페이지담당자명,홈페이지모집인원수,삭제여부
공익활동형,2021-47568,2021,따수미,2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,배아현,20,N
공익활동형,2021-49610,2021,태안관광지킴이(추가),2021-08-13 00:00:00,2021-08-25 00:00:00,2021-08-13 00:00:00,2021-08-27 00:00:00,조은지,20,N
공익활동형,2021-00134,2021,시설도우미,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,임채완,152,N
공익활동형,2021-03372,2021,2021년 시각장애인 안내도우미사업,2020-12-07 00:00:00,2020-12-14 00:00:00,2020-12-07 00:00:00,2020-12-14 00:00:00,이은애,12,N
공익활동형,2021-28746,2021,공원지킴이,2021-02-22 00:00:00,2021-02-26 00:00:00,2021-02-22 00:00:00,2021-03-26 00:00:00,명가람,9,N
시장형,2021-09973,2021,천수만 공동작업장,2020-12-14 00:00:00,2020-12-28 00:00:00,2020-12-14 00:00:00,2020-12-28 00:00:00,명가람,20,N
시장형,2021-05558,2021,나대지를 활용한 어르신 도시농업사업단,2020-11-23 00:00:00,2020-11-27 00:00:00,2020-11-23 00:00:00,2020-11-27 00:00:00,이경애,35,N
공익활동형,2021-05498,2021,농수산물공동작업장사업단,2020-11-23 00:00:00,2020-11-27 00:00:00,2020-11-23 00:00:00,2020-11-27 00:00:00,김은희,35,Y
시장형,2021-46172,2021,토닥토닥식당,2021-06-01 00:00:00,2021-12-31 00:00:00,2021-06-01 00:00:00,2021-12-31 00:00:00,김향미,8,N
공익활동형,2021-48421,2021,깨끗한보물섬 공원가꾸기2,2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-16 00:00:00,2021-08-20 00:00:00,김세영,60,N
공익활동형,2021-09370,2021,전통문화 계승활동 2,2020-12-15 00:00:00,2020-12-18 00:00:00,2020-12-15 00:00:00,2020-12-18 00:00:00,이정원,180,N
공익활동형,2021-09369,2021,전통문화계승활동 1,2020-12-15 00:00:00,2020-12-18 00:00:00,2020-12-15 00:00:00,2020-12-18 00:00:00,이정원,180,N
시장형,2021-06845,2021,은빛식당,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이지헌,14,N
시장형,2021-06898,2021,은빛일터,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,은지민,30,N
시장형,2021-00652,2021,꽈배기나라1호점,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이윤선,8,N
시장형,2021-00736,2021,새싹배움터,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이수현,39,N
시장형,2021-00682,2021,꽈배기나라2호점,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이윤선,6,N
공익활동형,2021-04387,2021,도서관청소도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이수민,20,N
시장형,2021-03982,2021,적토마지하철택배 사업,2020-11-30 00:00:00,2020-12-04 00:00:00,2020-11-30 00:00:00,2020-12-04 00:00:00,김효정,20,N
사회서비스형,2021-19470,2021,해드림돌봄,2021-01-01 00:00:00,2021-01-31 00:00:00,2021-01-01 00:00:00,2021-01-31 00:00:00,안창숙,20,Y
공익활동형,2021-01200,2021,스쿨존교통지원사업 (새싹수호천사사업),2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,이정향,270,N
공익활동형,2021-06422,2021,동환경도우미,2020-12-14 00:00:00,2020-12-25 00:00:00,2020-12-07 00:00:00,2020-12-25 00:00:00,남병조,2416,Y
공익활동형,2021-05379,2021,노노케어1(우리고을실버봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05398,2021,복지시설봉사(요리조리봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05411,2021,초등학교급식도우미1(사랑의 밥퍼봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05386,2021,공공시설봉사1(우리고을환경지킴이봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
